name,line
"                         KILLMONGER
","         bracelet, KIMOYO BEADS that
"
"                         KILLMONGER (CONT'D)
","          , project a hologram image of
"
"                         MUSEUM DIRECTOR
","          This man , Ulysses Klaue , stole a
"
"                         KILLMON GER
","          quarter ton of vibraniurn from us
"
"                         MUSEUM DIRECTOR
","          and triggered a bomb at the border
"
"                         KILLMONGER
","          to escape . Many lives were lost . He
"
"                         MUSEUM DIRECTOR
","          knew where we hid the vibranium,
"
"                         KILLMONGER
","          and how to strike .
"
"                         MUSEUM DIRECTOR
","         N'Jobu takes the news in .
"
"                         (AMUSED)
","          He had someone on the inside.
"
"                         KILLMONGER
","         Young T'Chaka waits for N' Jobu to come clean of the crime . He
"
"                         MUSEUM DIRECTOR
","         doesn't .
"
"                         KILLMONGER
","          Why are you here?
"
"                         MUSEUM DIRECTOR
","          Because I want you look me in the
"
"                         KILLMONGER
","          eyes and tell me why you betrayed
"
"                         SECURITY GUARD
","          Wakanda .
"
"                         KILLMONGER
","          I did no such thing .
"
"                         KILLMONGER (CONT'D)
","         Young T'Chaka snaps a look to James .
"
"                         SECURITY GUARD
","          Tell him who you are.
"
"                         (INTO RADIO)
","          Zuri, Son of Badu .
"
"         I NT. CAFE BRITISH MUSEUM MORNING
","          What?
"
"                         LINDA
","          6.
"
"         INT. WEST AFRICAN EXHIBIT, BRITISH MUSEUM MOMENTS
","
"
"                         - LATER
","
"
"                         KLAUE
","         N'Jobu's face goes ashen as James is revealed to be YOUNG
"
"                         LIMBANI
","         ZURI, a Wakandan spy . Zuri reveals his vibranium lip tattoo .
"
"                         KLAUE
","         N'Jobu grabs him .
"
"                         KILLMONGER
","          James, James you lied to me? I
"
"                         KLAUE
","          invite you into my home and you
"
"         INT . SECURITY DESK, BRITISH MUSEUM MOR ING
","          were Wakandan this whole time?
"
"                         - N
","          You betrayed Wakanda!
"
"         EXT. BRITISH MUSEUM LONDON UK - MORNI G
","          How could you lie to me like -
"
"          , , N
","          Stand down. Did you think that you
"
"         INT . WEST AFRICAN EXHIBIT - MORNING
","          were the only spy we sent here?
"
"                         KLAUE
","         Zuri walks to the wall and removes a duffle bag containing
"
"          KLAUE (CONT' D)
","         VIBRANIUMCANISTERS glowing blue . He shows one to Young
"
"                         KLAUE (CONT'D)
","          ,
"
"                         KILLMON GER
","         T'Chaka .
"
"                         KLAUE
","          Prince N'Jobu, you will return home
"
"                         KILLMONGER
","          at once, where you will face the
"
"                         KLAUE
","          council and inform them of your
"
"                         KLAUE (CONT'D)
","          crimes .
"
"                         KILLMONGER
","
"
"         INT. FOYER BRITISH MUSEUM MORNING
","
"
"         EXT. BRITISH MUSEUM,LONDON UK - MOMENTS
","                         -
"
"          , LATER
","         A kid catches the basketball, gazing up as an AIRCRAFT WITH
"
"                         AND CLIMB
","         STRANGE LIGHTS rises into the sky and speeds off .
"
"         EXT. WAKANDAN
","         The ball drops.
"
