name,line
"                         SHURI
","          I am your King now!
"
"         IN THE CHALLENGE
","         Zuri looks up.
"
"                         POOL
","          71.
"
"         EXT. WARRIORFALLS, CHALLENGE
","
"
"          POOL - LATE AFTERNOON
","
"
"                        ON NAKIA
","          Your uncle took a War Dog
"
"                         NAKIA
","          assignment in America . Your father
"
"         IN THE CHALLENGE
","          placed me there to observe
"
"                         POOL
","          unbeknownst to him. Your uncle fell
"
"                         KILLMONGER
","          in love with an American woman.
"
"                         T'CHALLA
","          They had a child . The hardships he
"
"         IN THE STANDS
","          saw there radicalized your uncle.
"
"                         OKOYE
","
"
"                         RAMONDA
","
"
"         IN THE CHALLENGE
","                         -
"
"                         POOL
","         N'JOBU makes his plea to YOUNG T'CHAKA, picking up where we
"
"                         ZURI
","         left off in the Oakland sequence .
"
"                         KILLMONGER
","          I observed for as long as I could !
"
"                         T'CHALLA
","          Their leaders have been
"
"                         KILLMONGER
","          assassinated , communities flooded
"
"                         KILLMONGER (CONT'D)
","          with drugs and weapons , they are
"
"         ON SHURI, NAKIA OKOYEAND AYO
","          overly policed and incarcerated.
"
"          SHUR!
","          All over the planet our people
"
"                         AYO
","          suffer because they don't have the
"
"         IN THE CHALLENGE
","          tools to fight back. With vibranium
"
"                         POOL
","          weapons they could overthrow every
"
"                         KILLMONGER
","          country and Wakanda could rule them
"
"         EXT. WARRIORFALLS, CHALLENGE
","          all , the right way . . .
"
"          POOL - LATE AFTERNOON
","
"
"         ON NAKIA AND RAMONDA
","
"
"                         RAMONDA
","          He knew your father would not
"
"          NA.KIA
","          support this , so your uncle
"
"         IN THE CHALLENGE
","          betrayed us.
"
"                         POOL
","          No . ·.
"
"                         KILLMONGER
","          He helped Klaue steal the
"
"         ON NA.KIA
","          vibranium .
"
"          NA.KIA
","          No no no no no no . . .
"
"         IN THE CHALLENGE
","
"
"                         POOL
","
"
"         INT. TRIBAL COUNCIL ROOM- NIGHT
","                         -
"
"                         OKOYE
","         Young T'Chaka turns to N'Jobu.
"
"          NA.KIA
","          72.
"
"                         OKOYE
","
"
"                         (IN XHOSA)
","          You will return home at once , where
"
"          NA.KIA
","          you will face the council and
"
"                         OKOYE
","          inform them of your crimes .
"
"                         (IN XHOSA)
","         N'Jobu reaches into his waistband and pulls a HANDGUN,
"
"                         I
","         it at James/Young Zuri's head, freezing him .
"
"                         NAKIA
","          He drew his weapon on me
"
"                         OKOYE
","         Young T'Chaka pops his claws . He quickly springs forward ,
"
"                         NAKIA
","         digging his CLAWSinto the slide and destroying it , before he
"
"                         OKOYE
","         can pull the trigger . He then buries his CLAWSinto N'Jobu's
"
"                         NAKIA
","         chest , killing him instantly . He lets N'Jobu's body drop to
"
"                         OKOYE
","         the floor, and closes his eyes.
"
"                         NAKIA
","          Your father killed his own
"
"                         NAKIA (CONT'D)
","          brother . ..
"
"                         OKOYE
","
"
"                         NAKIA
","          To save my life .
"
"                         OKOYE
","
"
"                         NAKIA
","                         -
"
"         INT. T'CHALLA'S OFFICE, ROYALPALACE - NIGHT
","         Young Zuri looks at Young T'Chaka with tears welling up in
"
"                         ROSS
","         his eyes.
"
"                         NAKIA
","          Speak nothing of this .
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - NIGHT
","
"
"         EXT. CITY OF THE DEADJUNGLE OUTSKIRTS - NIGHT
","          And the child ...
"
"          SHUR!
","          We left him .
"
"                         NAKIA
","
"
"                         RAMONDA
","
"
"                         NAKIA
","                         -
"
"                         RAMONDA
","         One of the young kids playing basketball, who is now revealed
"
"                         NAKIA
","         to be YOUNG KILLMONGER stands looking up at the sky where the
"
"                         (BEAT)
","         mysterious lights flickered.
"
"                         RAMONDA
","          73.
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - NIGHT
","
"
"                         SHAMAN
","
"
"         EXT. LAKE MERRITT, OAKLAND NIGHT - FLASHBACK
","
"
"         INT. N'JOBU'S APARTMENT NIGHT - FLASHBACK
","          We had to maintain the lie .
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - NIGHT
","         Gutted , T'Challa can't reconcile what he's just heard . He
"
"         INT. N'JOBU'S APARTMENT NIGHT
","         turns his back on Zuri .
"
"                         N'JOBU
","
"
"                         (PLAYFUL SMILE)
","
"
"                         YOUNGKILLMONGER
","         Dragging a LARGEBAG, Killmonger approaches . In the distance ,
"
"                         N'JOBU
","         we see the four-seater plane .
"
"                         WAKANDAN
","         W'Kabi approaches as Killmonger drops the bag .
"
"                         N'JOBU (CONT'D)
","          What is this?
"
"                         YOUNGKILLMONGER
","          Just a 'lil gift .
"
"                         N'JOBU
","         Killmonger opens his bag , revealing KLAUE'S CORPSE W'Kabi's
"
"                         YOUNGKILLMONGER
","          .
"
"                        N'JOBU
","         eyes widen, and his men draw their swords .
"
"                         N'JOBU
","          Who are you?
"
"                         YOUNGKILLMONGER
","
"
"                         (COLD)
","
"
"                         N'JOBU
","
"
"                         N'JOBU (CONT'D)
","         Ross suddenly opens his eyes and reaches for his gunshot
"
"                         KILLMONGER
","         wound finding it astonishingly almost fully healed.
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - NIGHT
","         Shuri tinkers with the circuitry of a PAIR OF MASSIVE CLAWED
"
"                         SHAMAN
","         VIBRANIUMGAUNTLETS across the room as Ross sits up.
"
"         INT. CATACOMBSCITY OF THE DEAD - NIGHT
","          Alright, where am I?
"
"         INT . HALL OF KINGS, CITY OF THE DEAD - NIGHT
","         Startled, Shuri spins .
"
"                         KILLMONGER
","          Don't scare me like that,
"
"                         KILLMONGER(CONT'D)
","          colonizer .
"
"                         SHAMAN
","          Colon-who? My name is Everett .
"
"                         KILLMONGER
","          Yes , I know . Everett Ross former
"
"                         SHAMAN
","          airforce pilot and now, CIA.
"
"                         KILLMONGER
","          74 .
"
"                        ON NAKIA
","
"
"         INT. HALL OF KINGS, CITY OF THE DEAD - NIGHT
","
"
"         INT. TRIBAL COUNCIL ROOM- DAY
","          Right.
"
"                         KILLMONGER
","         Groggy, Ross gazes around at the completely unique
"
"                         KILLMONGER (CONT'D)
","         technology .
"
"                         KILLMONGER(CONT'D)
","          Ok, is this Wakanda?
"
"                         OKOYE
","          No, it ' s Kansas .
"
"                         W'KABI
","          ... How long ago was Korea?
"
"                         KILLMONGER
","          Yesterday .
"
"         EXT. JABARILANDOUTSKIRTS, WAKANDAN
","          I don't think so . Bullet wounds
"
"                         MOUNTAINS MORNING
","          don't just magically heal
"
"                         ROSS
","          overnight.
"
"                         NAKIA
","          They do here. But not by magic , by
"
"                         ROSS
","          technology.
"
"                         SHURI
","          Don't touch anything . My brother
"
"                         NAKIA
","          will return soon.
"
"                         RAMONDA
","         Leery, Shuri watches Ross wander about out of the corner of
"
"                         (BEAT)
","         her eye . He walks over to the observation deck and gazes in
"
"                         NAKIA
","         awe at the exposed GLOWING ROCKS inside of the VIBRANIUM
"
"                         RAMONDA
","         Suddenly an AUTOMATED MINING CART whips between light panels,
"
"         OF THE JABARI ARMY .
","         floating above a rail .
"
"                         NAKIA
","          These train things ... that's
"
"         INT . M'BAKU'S THRONEROOM JABARILAND- NIGHT
","          magnetic levitation, right?
"
"                         RAMONDA
","          Obviously.
"
"                         M'BAKU
","          Obviously ... but I've never seen it
"
"                         NAKIA
","          this efficient . The light panels,
"
"                         M'BAKU
","          what are they?
"
"                         SHURI
","          Sonic stabilizers .
"
"                         M'BAKU
","          75 .
"
"                         ROSS
","
"
"                         M'BAKU
","
"
"                         M'BAKU (CONT'D)
","          Sonic what?
"
"                         NAKIA
","          In it's raw form , vibranium is too
"
"                         M'BAKU
","          dangerous to be transported at that
"
"         INT. JABARI HEALINGGROUNDS
","          speed , so I developed a way to
"
"          HUT - NIGHT
","          temporarily deactivate it.
"
"                         NAKIA
","          There's vibranium on those trains?
"
"                         (BEAT)
","          There is vibranium all around us.
"
"                         M' BAKU
","          That's how I healed you.
"
"         EXT. RIVERBANK, JABARILAND- DAWN FLASHBACK
","         Ross tries to process this as a 3D PROJECTION OF OKOYE
"
"          - ONE DAY BEFORE
","         unexpectedly forms.
"
"          M' BAKU ( V. 0 . )
","          Where is T'Challa? His Kimoyo beads
"
"         INT. JABARI HEALING GROUNDS
","          have been switched off .
"
"          HUT - NIGHT
","         Ross, amazed , tries to touch the sand projection .
"
"                         SHURI
","          Well we are not joined at the hip ,
"
"                         M' BAKU
","          Okoye .
"
"                         SHURI
","          A man showed up at the border who
"
"                         M'BAKU
","          claims to have killed Klaue.
"
"                         RAMONDA
","          What?
"
"                         (CONT'D)
","          W'Kabi is transporting him as we
"
"                         RAMONDA
","          speak to the pa l ace. We need to
"
"                         RAMONDA(CONT'D)
","          find your brother .
"
"                         (IN XHOSA)
","          An outsider?
"
"                         NAKIA
","
"
"                         (IN XHOSA)
","          No, a Wakandan .
"
"                         ROSS
","         An IMAGE OF KILLMONGER
"
"                         (IN XHOSA)
","          from the border appears on Shuri's
"
"                         SHURI
","         monitor .
"
"                         (IN XHOSA)
","         Then . . . Ross slowly walks into sight, staring at the screen .
"
"                         NAKIA
","          76 .
"
"         EXT. BLACKPANTHERANCESTRALPLANE - DAY
","
"
"                         T'CHAKA
","
"
"                         (IN XHOSA)
","          He's not a Wakandan . He's one of
"
"                         T'CHAKA (CONT'D)
","          ours.
"
"                         T'CHALLA
","
"
"                         (IN XHOSA)
","
"
"                         (IN ENGLISH)
","                         -
"
"                         T'CHALLA (CONT'D)
","         T'Challa and Nakia gaze out off the side of a beautiful
"
"                         T' CHAKA
","         overlook .
"
"                         T'CHALLA
","          He killed his own brother ... and
"
"                         T'CHAKA
","          left a child behind with nothing .
"
"                         T'CHALLA
","          What kind of King · . . what kind of
"
"         INT. JABARI HEALINGGROUNDS
","          man does that?
"
"          HUT - NIGHT
","          No man is perfect . Not even your
"
"                         T'CHALLA
","          father.
"
"         INT. M'BAKU'S THRONEROOM JABARILAND- DAY
","          He didn ' t even give him a proper
"
"                         NAKIA
","          burial ... My Uncle N'Jobu betrayed
"
"                         ROSS
","          us , but my father may have created
"
"                         ROSS (CONT'D)
","          something even worse .
"
"                         (MORE)
","          Hey . Look at me. You can't let your
"
"          ROSS (CONT D)'
","          father ' s mistakes define who you
"
"                         T'CHALLA
","          are . You get to decide what kind of
"
"                         SHURI
","          King you are going to be.
"
"                         T' CHALLA
","         They share a look as T'C ha l la's Kimoyo beads buzz .
"
"                         T'CHALLA (CON
","          Brother , you need to get here now.
"
"                         T'D)
","         T' Chall a and Nakia look at each othe r.
"
"                         RAMONDA)
","
"
"                         RAMONDA
","         T'Cha l la , Shuri and Nakia listen as Ross briefs them on
"
"                         SHURI
","         Killmonger. A BODYSCAN IMAGEof Killmonger is on Shuri's
"
"                         T'CHALLA
","         monitor.
"
"                         RAMONDA
","          Eric Stevens . Graduated Annapolis
"
"                         T' CHALLA
","          age 19 . MIT for grad school . Joined
"
"                         SHURI
","          the SEALs and went to Afghanistan
"
"                         SHURI (CONT'D)
","          where he racked up confirmed kills
"
"                         NAKIA
","          like it was a video game . They
"
"                         ROSS
","          him Killmonger . He
"
"                         ROSS (CONT'D)
","          joined a JSOC ghost unit .
"
"                         M'BAKU
","          77 .
"
"                         T'CHALLA
","          Now these guys are serious . They
"
"                         T'CHALLA (CONT'D)
","          will drop off the grid so they can
"
"                         M'BAKU
","          commit assassinations and take down
"
"                         T'CHALLA
","          governments .
"
"                         M'BAKU
","          Did he reveal anything about his
"
"                         T'CHALLA
","          identity?
"
"                         M'BAKU
","          He has a War Dog tattoo but we have
"
"                         (LAUGHS)
","          no record of him .
"
"                         T'CHALLA
","         T' Challa and Shuri share a look .
"
"                         M'BAKU
","
"
"                         T'CHALLA
","         T'Challa sits on his throne surrounded by the Tribal Elders ,
"
"                         M'BAKU
","         Ramonda , Shuri , Okoye , and the Dora .
"
"         INT. VIBRANIUMMINE- DOWNSHAFT
","          Is this man Wakandan or not?
"
"         EXT. MT. BASHENGA,TOP OF THE HILL - DAY
","          Tell us what is going on .
"
"                         W'KABI
","         Killmonger is escorted in by W'Kabi .
"
"                         KILLMONGER
","         W 'Kabi tensely steps next to T'Challa as Killmonger takes his
"
"                         W'KABI
","         place before the circle.
"
"                         AR
","          Speak.
"
"                         KILLMON GER
","
"
"                         KILLMONGER (CONT'D)
","                         '
"
"         EXT. MT BASHENGA TOP OF THE HILL - DAY
","          Speak .
"
"                         OKOYE
","          I'm standing in your house . Serving
"
"                        ON PANTHER
","          justice to a man who stole your
"
"                         T'CHALLA
","          vibranium and murdered your people .
"
"                         KILLMON
","          Justice your King couldn't deliver.
"
"                         GER
","         T'Challa walks close enough to Killmonger to be able to
"
"                         T'CHALLA
","         whisper to him .
"
"                         KILLMONGER
","          78 .
"
"                         T'CHALLA
","
"
"                         (INTO COMM)
","          I don't care that you brought
"
"          SHURI (O. S . )
","          Klaue, the only reason I don't kill
"
"         INT. SHURI'S LAB, HALLWAY,
","          you where you stand is because I
"
"          MT. BASHENGA DAY
","          know who you are ... now what do you
"
"                         SHURI (CONT'D)
","          want?
"
"         EXT. MT BASHENGA,TOP OF HILL - DAY
","          I want the throne .
"
"                         KILLMONGER
","         The entire room scoffs at this . Some ELDERS even hold their
"
"                         OKOYE
","         heads back and laugh .
"
"                         BORDERTRIBE COMMANDER
","          My goodness.
"
"                         W'KABI
","          Y'all sittin' up here comfortable.
"
"                         BORDERTRIBE
","          Must feel good . There's about 2
"
"                         W'KABI
","          billion people all over the world
"
"                         OKOYE
","          that looks like us but their lives
"
"          OKOYE(CONT D)
","          are a lot harder , Wakanda has the
"
"                        DOWNHILL
","          tools to liberate them all .
"
"                         T'CHALLA
","          And what tools are those?
"
"          T' CHALLA(CONT D)
","          Vibranium . Your weapons.
"
"          NOO!!
","          Our our weapons will not be used to
"
"         INT. SHURI'S LAB W
","          wage war on the world . It is not
"
"          , AKAND DESIGN GROUP- DAY
","          our way to be judge jury and
"
"                         A
","          executioner for people who are not
"
"          SHUR!
","          our own .
"
"                         ROSS
","          Not your own? But didn't life start
"
"          SHUR!
","          here , on this continent? So ain ' t
"
"                         ROSS
","          all people your people?
"
"          SHUR!
","          I am not King of all people. I am
"
"                         ROSS
","          King of Wakanda. And it is my
"
"          SHUR!
","          responsibility to make sure our
"
"                         NAKIA
","          people are safe and that vibranium
"
"          SHUR!
","          does not fall into the hands of a
"
"          SHUR! (CONT'D)
","          person like you.
"
"                         ROSS
","         The elders murmur at Killmonger's disrespect. They wait to
"
"                         NAKIA
","         see how T'Challa will respond . Then , Ramonda suddenly speaks .
"
"         EXT. MT. BASHENGA,TOP OF THE HILL - DAY
","          79 .
"
"                         DORAMILAJE 1
","
"
"         EXT. MT BASHENGA TOP OF THE HILL - DAY
","          Son , we have entertained this
"
"         INT. SHURI'S LAB, WAKANDA
","          charlatan for too long. Reject his
"
"          DESIGN GROUP- DAY
","          request .
"
"          GRIOT (O.S . )
","         Killmonger eyes the Elders with an amused grin .
"
"          SHURI (O. S.)
","          Oh, I ain't requesting nothing !
"
"         EXT. MT BASHENGA
","          Ask who I am?
"
"          . LANDINGPAD - DAY
","          You are Eric Stevens. An American
"
"                         SHURI/NAKIA
","          black operative . A mercenary
"
"                         SHURI
","          nicknamed Killmonger. That's who
"
"                         (INTO CORNMS)
","          you are .
"
"         INT. SHURI'S LAB, COCKPIT - DAY
","          That's not my name , Princess . Ask
"
"                         ROSS
","          me, King?
"
"         EXT. MT. BASHENGA TOP OF THE HILL - DAY
","          No.
"
"                        DOWNHILL
","          Ask me.
"
"         EXT. MT. BASHENGA TOP OF THE HILL - DAY
","          Take him away.
"
"                         OKOYE
","          Who are you?
"
"                         (IN XHOSA)
","          I am N'Jadaka, son of Prince
"
"                         OKOYE(CONT'D)
","          N'Jobu .
"
"                         (IN XHOSA)
","         A hush fa l ls over the room . The tribal elders knew N'Jobu .
"
"                         NAKIA
","         This changes EVERYTHING.
"
"         INT. SHURI'S LAB, COCKPIT - DAY
","          The son of N'Jobu?
"
"                         ROSS
","          I found my daddy with Panther claws
"
"          SHUR! ( 0. S . )
","          in his chest . You ain't the son of
"
"                         ROSS
","          a King you're the son of a
"
"                         ROSS (CONT'D)
","          murderer!
"
"         EXT. WAKANDAN
","          80 .
"
"                         AIRSPACE
","
"
"         INT . SHURI' S LAB, COCKPIT - DAY
","          You' re lying!
"
"                         ROSS
","          Lies.
"
"         EXT. WAKANDAN
","          I'm afraid not Queen Mother .
"
"                         AIRSPACE
","
"
"                         ROSS (CONT'D)
","         W'Kabi produces Killmonger's GOLD NECKLACEand RING. Holding
"
"         EXT. MT. BASHENGA DAY
","         it up for everyone to see.
"
"                         IN
","          The descendant of N'Jobu .
"
"         EXT. MT. BASHENGA TOP OF THE HILL - DAY
","          Hey Auntie .
"
"                        DOWNHILL
","          I'm exercising my blood right to
"
"                         T'CHALLA
","          challenge for the mantles of King
"
"                        ON KILLMONGER
","          and Black Panther .
"
"          AND SHUR!
","         Utter silence as all eyes turn to T'Challa . T'Challa
"
"                         KILLMON GER
","         desperately wants to refuse but knows that isn't possible .
"
"          SHUR!
","
"
"          IN ,
","          Do not do this T'Challa.
"
"          SHUR! (CONT'D)
","
"
"         INT . VIBRANIUMMINE SHAFT - DAY
","          As the son of N'Jobu he is within
"
"         INT . VIBRANIUMMINE BOTTOM DAY
","          his rights .
"
"                         T'CHALLA
","          He has no rights here.
"
"          SHUR! ( 0. S . )
","          The challenge would take weeks to
"
"                         T'CHALLA
","          prepare .
"
"          ( 0. S · )
","          Weeks? I don't need weeks. The
"
"          SHUR!
","          whole country ain't gotta be there
"
"                         T'CHALLA
","          I just need him ... and somebody to
"
"                         SHURI
","          get me out of these chains.
"
"         EXT. MT. BASHENGA TOP OF THE HILL - DAY
","          T'Challa, what do you know of this?
"
"         INT. VIBRANIUMMINE BOTTOM DAY
","          I accept your challenge.
"
"                         KILLMONGER
","         W'Kabi looks at T'Challa closely .
"
"                         KILLMONGER(CONT'D)
","          81 .
"
"                         T'CHALLA
","
"
"                         KILLMONGER
","
"
"                         T'CHALLA
","
"
"                         KILLMONGER
","         T'Challa and Killmonger stand opposite one another.
"
"                         (MORE)
","         Killmonger SNAPS OFF a spear ' s shaft with his foot and holds
"
"                         KILLMONGER (CONT'D)
","         a SWORD go with the SPEARHEAD.
"
"         EXT. MT. BASHENGA,TOP OF THE HILL - DAY
","         The Tribal Elders , W'Kabi , and the Dora look on from their
"
"                         SHURI
","         respective places . Shuri watches with Ramonda , but the stands
"
"                         NAKIA
","         are entirely empty .
"
"                         SHURI
","          He will never beat T' Challa . He
"
"                         NAKIA
","          should have just come to t he first
"
"         INT. SHURI'S LAB, COCKPIT - DAY
","          challenge and gotten it over with .
"
"                         ROSS
","         Ramonda looks concerned . She ' s not so sure.
"
"         EXT. WAKANDAN
","
"
"                         CANYON
","         Zuri brings T'Challa the DEATHHERB and he repeats the
"
"         INT. SHURI'S LAB, WAKANDAN
","         process , poisoning T'Challa while Killmonger stares on
"
"                         DESIGN GROUP
","         silently .
"
"                         ROSS
","          The King will now have the strength
"
"          GRIOT (O.S . )
","          of the Black Pa nther stripped away .
"
"                         ROSS
","         Staring T'Challa down, Killmonger suddenly turns to Zuri .
"
"          GRIOT (O. S.)
","         They recognize each other. Zuri looks away ashamed.
"
"          SHURI ( 0. S . )
","         Nakia arrives through a tunnel and wal ks up to Okoye , who
"
"                         ROSS
","         turns to her .
"
"          GRIOT (O. S . )
","          Where is Agent Ross?
"
"                         ROSS
","          I locked him in the office . He's
"
"          SHURI (O.S . )
","          not going anywhere.
"
"         EXT. MT. BASHENGA TOP OF THE HILL - DAY
","         T' Challa holds his short spear and shield. He stares at his
"
"                         W'KABI
","         cousin .
"
"                         W'KABI (CONT'D)
","          This is your last chance, thro w
"
"                         M'BAKU
","          down your weapons and we can handle
"
"                         M'BAKU (CONT'D)
","          this another way.
"
"                         OKOYE
","          82 .
"
"                         M'BAKU
","
"
"         INT . VIBRANIUMMINE BOTTOM DAY
","
"
"         EXT. WAKANDAN
","         Killmonger slams his blades into the stone .
"
"          AIRSPACE - DAY
","          I lived my entire life waiting for
"
"          GRIOT (O. S.)
","          this moment. I trained, I lied, I
"
"          GRIOT (O.S . ) (CONT'D)
","          killed, just to get here.
"
"                         ROSS
","         He takes off his vest and tears at his shirt, revealing the
"
"          SHURI (O. S . )
","         SCARIFICATION MARKSthat go up his arm and across his entire
"
"          GRIOT (O. S . )
","         back. They number in the hundreds .
"
"          SHURI (O. S.)
","          I killed in America, Afghanistan,
"
"         EXT. WAKANDAN
","          Iraq . I took life from my own
"
"          AIRSPACE - DAY
","          brothers and sisters right here on
"
"          GIOT (O. S . )
","          the continent . And all this death ,
"
"          GRIOT (O.S.)
","          just so I can kill you .
"
"         EXT. WAKANDAN
","         T'Challa looks to Zuri and nods .
"
"          BORDERREGION - DAY
","          Let the challenge begin .
"
"         INT. SHURI'S LAB, COCKPIT - DAY
","         Killmonger tears forward with expert knife work and T'Challa
"
"         EXT. WAKANDAN
","         with skilled defense .
"
"          AIRSPACE - DAY
","         T'Challa PARRIES several strikes , countering with a LEG TAKE-
"
"         INT. SHURI'S LAB - COCKPIT - DAY
","         DOWN but hesitates with his sword and doesn't strike as they
"
"                         ROSS
","         roll toward the edge of the waterfall .
"
"          SHUR!
","         Back on their feet , they circle , and Killmonger lunges at
"
"         EXT. MT BASHENGA TOP OF THE HILL - DAY
","         T'Challa who dodges. T'Challa manages to knock Killmonger off
"
"                         OKOYE
","         his feet , gaining the advantage .
"
"                         W'KABI
","          Yield !
"
"                         OKOYE
","         Killrnonger FEROCIOUSLY BOBS INSIDE , but T'Challa lunges at
"
"         INT. VIBRANIUMMINE BOTTOM DAY
","         Killrnonger, giving him a superficial SLASH ACROSS his cheek.
"
"                         KILLMON GER
","         Fueled by rage, Killmonger begins to overpower T'Challa . He
"
"                         AS BROKEN
","         slices T'Challa ' s thigh .
"
"                         KILLMONGER(CONT'D)
","          Snap out of it T'Challa!
"
"                         KILLMONGER (CONT'D)
","         Wielding both blades , Killmonger slashes deep across
"
"         INT . VIBRANIUMMINE ELEVATOR- DAY
","         T'Challa's stomach, then spins, CUTTING deep into his bicep.
"
"         EXT. MT. BASHENGA SUNSET
","          83 .
"
"                         KILLMONGER
","
"
"                         T'CHALLA
","
"
"                         KILLMONGER
","         Hurt , T'Challa realizes his compassion was a mistake and he
"
"         INT . TRIBAL COUNCILROOM- DAY
","         must fight back but blood leaks from his side.
"
"         EXT. STEP TOWN, GOLDENCITY - MORNING
","         Killmonger dodges T'Challa ' s next attack .
"
"                         T'CHALLA
","         Stumbling , T'Challa is unable to avoid Killmonger's BLADE
"
"                         NAKIA
","         BEING THRUST into his ribs .
"
"                         HAVE --
","         The elders gasp as Ramonda looks away and Shuri just stares.
"
"                         T'CHALLA
","
"
"                         T'CHALLA (CONT'D)
","
"
"         EXT. LAKE MERRITT APARTMENT
","         Killmonger snatches the knife out. T'Challa can barely stand .
"
"          COMPLEX,OAKLAND- AY
","         Killmonger punches him .
"
"                         D
","          Get up .
"
"                         SHURI
","         He continues to PUNCHT'CHALLA REPEATEDLYuntil he topples
"
"                         T'CHALLA
","         over.
"
"                         SHURI
","          This is for my father .
"
"                         T'CHALLA
","         Killmonger walks swiftly toward T'Challa to deliver his
"
"          T' CHALLA(CONT'D)
","         deathblow .. . only to have a guilt-ridden Zuri STOP HIM with
"
"                         T'CHALLA (CONT'D)
","         his SPEAR knocking his blade away .
"
"                         SHURI
","          ,
"
"                         OAKLAND KID #1
","          Zuri , no .
"
"                         OAKLANDKID #2
","          Zuri .
"
"                         OAKLANDKID #3
","          Zuri don ' t !
"
"                         YOUNGBLACK KID
","          I am the cause of your father's
"
"          OAKLANDKID #1 (O.S.)
","          death. Not him . Take me .
"
"          OAKLAND KID #2 (O. S.)
","         Regrouping, Killrnonger grabs Zuri's spear . T'Challa labors to
"
"          OAKLAND KID #3 (O. S . )
","         get up but can't .
"
"                         OAKLAND
","          84.
"
"          KID #2 (O. S . )
","
"
"                         OAKLAND KID #3
","
"
"          SHUR! ( 0. S . )
","          I'll take you both , Uncle James ...
"
"          OAKLAND KID #1 (O.S . )
","         Killmonger skewers Zuri with his spear.
"
"          SHUR! ( 0 . S . )
","         Killmonger drives the spear in further and GRABBINGTHE BLADE
"
"          OAKLAND KID #1 (O. S . )
","         with both hands in death, Zuri falls with it to the shallow
"
"                         YOUNGBLACKKID
","         water as T'Challa watches in utter torment .
"
"          YOUNG BLACKKID (CONT'D)
","          Nol Zuri no! Zuri!! Noo!
"
"          CUT TO TITLE:
","         Fueled by rage, T'Challa lifts back up to his feet. He
"
"                         BLACKPANTHER
","         charges Killmonger , who ducks his attacks, while talking to
"
"                        TAG 1
","         the audience .
"
"         INT. UNITED NATIONS ASSEMBLYBUILDING, ROTUNDA DAY
","          Is this your King? Huh?
"
"         INT . UNITED NATIONS ASSEMBLYBUILDING - DAY
","         T'Challa swings his spear, Killmonger ducks .
"
"                         T'CHALLA
","          Is this your King? The Black
"
"                        A FRENCHAMBASSADOR
","          Panther , who's supposed to lead you
"
"                         FRENCHAMBASSADOR
","          into the future .
"
"                        TAG 2
","          ,
"
"         INT. WAKANDAN
","          Come on brother!
"
"          MEDICINE HUT - DAY
","         Nakia looks on, trying to hide her tears with Okoye and Ayo .
"
"         EXT. WAKANDAN
","          Is there nothing that can be done?
"
"          MEDICINE HUT - CONTINUOUS
","          Him? He's supposed to protect you.
"
"                         SHURI
","         Killmonger ducks another attack from T'Challa and scoops him
"
"                         WAKANDAN
","         onto his shoulders .
"
"                         CHILD
","
"
"                         SHURI
","
"
"                         WAKANDANCHILDREN
","         Killmonger walks to the edge of the challenge pool .
"
"                         SHURI
","          No.
"
"                         BUCKY
","          85.
"
"                         SHURI
","
"
"                         BUCKY
","
"
"                         SHURI
","          No!
"
,"         Killmonger heaves T'Challa off the waterfall. Staggered,
"
,"         everyone watches T'Challa DISAPPEAR BELOWto his death .
"
,"         Ramonda screams .
"
,"          Nah . I'm your King .
"
,"         Nakia shuttles Shuri and Ramonda into the caves while Okoye
"
,"         stays behind .
"
,"          We have to go now ! Queen mother,
"
,"          let's go !
"
,"         Staggered , the new Shaman gives him the Panther necklace .
"
,"         Everyone slowly salutes Killmonger .
"
,"
"
,"         The room seems empty until we come upon Okoye grieving alone .
"
,"         After a moment, the door opens and Okoye quickly wipes her
"
,"         eyes . Pulling it together , she stands as Nakia approaches.
"
,"         The two women silently take each other in , sharing in their
"
,"         sorrow .
"
,"          The Queen Mother and Shuri ... they
"
,"          are safe?
"
,"         Nakia nods .
"
,"          Yes .
"
,"          Thank you.
"
,"          We should get to them immediately .
"
,"          86 .
"
,"
"
,"          cannot . . .
"
,"
"
,"          What ...
"
,"          Though my heart is with you .
"
,"          We cannot turn over our nation to a
"
,"          man who showed up here only hours
"
,"          ago .
"
,"          He is of royal blood.
"
,"          He killed T ' Challa .
"
,"          In ritual combat .
"
,"          Does that really matter?
"
,"         Okoye quiets .
"
,"          You are the greatest warrior
"
,"          Wakanda has . Help me overthrow him
"
,"          before he becomes too strong .
"
,"         Okoye stares at Nakia in disbelief.
"
,"          Overthrow? ! Nakia , I am not a spy
"
,"          who can come and go as they so
"
,"          choose. I am loyal to the throne,
"
,"          no matter who sits upon it . What
"
,"          are you loyal to?
"
,"          I loved him. I love my country too .
"
,"          Then you serve your country.
"
,"          No. I save my country .
"
,"         Nakia takes off.
"
,"          87.
"
,"
"
,"
"
,"         Ross walks around the office , admiring masks on the wall . He
"
,"         looks around as the door unlocks to Nakia, holding several
"
,"         blankets . Ross realizes something is wrong.
"
,"          What's wrong?
"
,"         Nakia tosses the blanket to Ross.
"
,"          The King is dead . Come with me,
"
,"          unless you want to join him .
"
,"         Ross's heart sinks as . . .
"
,"
"
,"         Killmonger enters and a Shaman guides him to a dirt plot
"
